,x,y,z,t,HCP0.5,PRP0.6,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP0.5_inph,PRP0.6_inph,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph
63,107769.873,183237.862,28.55,32764.1,0.008690912,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
64,107769.874,183237.862,28.55,32764.15,0.008681273,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
65,107769.875,183237.862,28.55,32764.21,0.008652358,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
66,107769.879,183237.862,28.55,32764.67,0.008652358,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
67,107769.876,183237.862,28.55,32764.87,0.00864272,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
68,107769.872,183237.862,28.55,32765.11,0.008633082,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
69,107769.868,183237.862,28.55,32765.31,0.008623444,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
70,107769.866,183237.862,28.55,32765.51,0.008613807,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
71,107769.866,183237.862,28.55,32765.71,0.00864272,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
72,107769.868,183237.862,28.55,32765.91,0.008652358,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
73,107769.873,183237.862,28.55,32766.13,0.008671634,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
74,107769.876,183237.862,28.55,32766.33,0.00864272,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
75,107769.879,183237.862,28.55,32766.53,0.008613807,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
76,107769.878,183237.862,28.55,32766.73,0.008613807,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
77,107769.876,183237.862,28.55,32766.93,0.008604169,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
78,107769.878,183237.866,28.55,32776.1,0.008613807,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
79,107769.878,183237.866,28.55,32776.3,0.008623444,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
80,107769.878,183237.866,28.55,32776.5,0.008623444,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
81,107769.878,183237.866,28.55,32776.7,0.008594532,0.005258458,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
82,107769.872,183237.898,28.55,32776.9,0.008633082,0.005231426,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
83,107769.861,183237.953,28.55,32777.13,0.008671634,0.005240436,0.002055893,0.001910597,0.000292744,0.000533935,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.406518389
84,107769.851,183237.999,28.55,32777.33,0.008661996,0.005249447,0.002055893,0.001899948,0.000292744,0.000534422,1.590081341,0.254503606,3.271992023,0.373607459,4.694878884,-4.266518389
85,107769.846,183238.025,28.55,32777.53,0.008623444,0.005249447,0.002055893,0.001899948,0.000292744,0.000534422,1.600081341,0.254503606,3.271992023,0.373607459,4.694878884,-4.266518389
86,107769.846,183238.029,28.55,32777.74,0.008613807,0.005249447,0.002055893,0.001899948,0.000292744,0.000534422,1.590081341,0.254503606,3.271992023,0.373607459,4.694878884,-4.266518389
87,107769.849,183238.029,28.55,32777.94,0.008633082,0.005249447,0.002055893,0.001899948,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.373607459,4.694878884,-4.266518389
88,107769.853,183238.029,28.55,32778.12,0.00864272,0.005249447,0.002055893,0.001899948,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.373607459,4.694878884,-4.266518389
89,107769.859,183238.029,28.55,32783.08,0.008661996,0.005114288,0.002055893,0.001899948,0.000292744,0.000534422,1.580081341,0.234503606,3.271992023,0.373607459,4.694878884,-4.266518389
90,107769.859,183238.028,28.55,32783.28,0.008690912,0.005114288,0.002055893,0.001899948,0.000292744,0.000534422,1.580081341,0.234503606,3.271992023,0.373607459,4.694878884,-4.266518389
91,107769.859,183238.028,28.55,32783.48,0.008613807,0.005114288,0.002055893,0.001899948,0.000292744,0.000534422,1.580081341,0.234503606,3.271992023,0.373607459,4.694878884,-4.266518389
92,107769.859,183238.028,28.55,32783.68,0.008584895,0.005114288,0.002055893,0.001899948,0.000292744,0.000534422,1.590081341,0.234503606,3.271992023,0.373607459,4.694878884,-4.266518389
93,107769.861,183238.025,28.55,32783.88,0.008613807,0.005249447,0.002055893,0.001899948,0.000292744,0.000534422,1.600081341,0.254503606,3.271992023,0.373607459,4.694878884,-4.266518389
94,107769.863,183238.016,28.55,32784.14,0.008633082,0.005249447,0.002055893,0.001899948,0.000292744,0.000534422,1.590081341,0.254503606,3.271992023,0.373607459,4.694878884,-4.266518389
95,107769.866,183238.007,28.55,32789.11,0.008633082,0.005249447,0.002055893,0.001899948,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.373607459,4.694878884,-4.266518389
96,107769.866,183238.007,28.55,32789.31,0.008661996,0.005249447,0.002055893,0.001899948,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.373607459,4.694878884,-4.266518389
97,107769.867,183238.006,28.55,32789.51,0.008681273,0.005249447,0.002055893,0.001899948,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.373607459,4.694878884,-4.266518389
98,107769.867,183238.006,28.55,32789.71,0.008681273,0.005249447,0.002055893,0.001899948,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.373607459,4.694878884,-4.266518389
99,107769.869,183238.006,28.55,32789.91,0.008661996,0.005249447,0.002055893,0.001899948,0.000292744,0.000534422,1.600081341,0.254503606,3.271992023,0.373607459,4.694878884,-4.266518389
100,107769.873,183238.006,28.55,32790.09,0.00864272,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
101,107769.88,183238.006,28.55,32794.08,0.008661996,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
102,107769.88,183238.006,28.55,32794.17,0.00864272,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
103,107769.88,183238.006,28.55,32794.22,0.00864272,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
104,107769.88,183238.006,28.55,32794.24,0.008633082,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
105,107769.88,183238.006,28.55,32794.27,0.008623444,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
106,107769.88,183238.006,28.55,32794.3,0.008575258,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
107,107769.88,183238.006,28.55,32794.43,0.008594532,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
108,107769.88,183238.006,28.55,32794.63,0.008633082,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
109,107769.88,183238.005,28.55,32794.83,0.00864272,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
110,107769.88,183238.0,28.55,32795.12,0.008623444,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
111,107769.88,183237.997,28.55,32795.32,0.00864272,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
112,107769.88,183237.996,28.55,32795.52,0.00864272,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
113,107769.88,183237.996,28.55,32795.72,0.008633082,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
114,107769.88,183238.002,28.55,32795.92,0.008633082,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.580081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
115,107769.88,183238.011,28.55,32796.11,0.00864272,0.005249447,0.002055893,0.001910597,0.000292744,0.000534422,1.590081341,0.254503606,3.271992023,0.413607459,4.694878884,-4.266518389
